"Product Group","Status","Compliance","Interface","Number of Lines","Direction","C Max (pF)","V(BR) Min (V)","VRWM Max (V)","IR Max (µA)","PPK Max (W)","Package Size (mm)","Package Type","MSL Type","MSL Temp (°C)","Reference Price",
"ESD7504MUTAG","Active","H Pb   ","Display Port, eSATA 3.0, ","4, ","Unidirectional, ","0.55, ","4, ","3.3, ","1, ","-, ","2.50 x 1.00 x 0.50, ","UDFN-10 ","1 ","260 ","0.0841 ",
"SZESD7551MXWT5G","Active","H Pb A P ","General I/O, ","1, ","Bidirectional, ","0.35, ","5, ","3.3, ","0.05, ","-, ","1.00 x 0.60 x 0.37, ","X2DFNW2 ","1 ","260 ","0.0393 ",
"SZESD7551N2T5G","Active","H Pb A P ","General I/O, ","1, ","Bidirectional, ","0.35, ","5, ","3.3, ","0.05, ","-, ","1.00 x 0.60 x 0.37, ","X2DFN-2 ","1 ","260 ","0.0484 ",
"ESD7551N2T5G","Active","H Pb   ","General I/O, ","1, ","Bidirectional, ","0.35, ","5, ","3.3, ","0.05, ","-, ","1.00 x 0.60 x 0.37, ","X2DFN-2 ","1 ","260 ","0.0351 ",
"SZESD7C3.3DT5G","Active","H Pb A P ","General I/O, ","2, ","Unidirectional, ","13, ","5, ","3.3, ","1, ","5.1, ","1.20 x 1.20 x 0.50, ","SOT-723-3 ","1 ","260 ","0.0639 ",
"ESD7C3.3DT5G","Active","H Pb   ","General I/O, ","2, ","Unidirectional, ","13, ","5, ","3.3, ","1, ","5.1, ","1.20 x 1.20 x 0.50, ","SOT-723-3 ","1 ","260 ","0.0696 ",
"ESD7C5.0DT5G","Active","H Pb   ","General I/O, ","2, ","Unidirectional, ","6.2, ","11, ","5, ","0.5, ","5.1, ","1.20 x 1.20 x 0.50, ","SOT-723-3 ","1 ","260 ","0.0696 ",
"ESD7L5.0DT5G","Active","H Pb   ","DVI, eSATA 2.0, USB 2.0, USB 3.0, ","2, ","Unidirectional, ","0.9, ","5.4, ","5, ","1, ","12, ","1.20 x 1.20 x 0.50, ","SOT-723-3 ","1 ","260 ","0.4051 ",
"SESD7L5.0DT5G","Active","H Pb A P ","USB 2.0, ","2, ","Unidirectional, ","0.9, ","5.4, ","5, ","1, ","12, ","1.20 x 1.20 x 0.50, ","SOT-723-3 ","1 ","260 ","0.2667 ",
"ESD7M5.0DT5G","Active","H Pb   ","USB 2.0, ","2, ","Unidirectional, ","2.5, ","5.4, ","5, ","1, ","0.15, ","1.20 x 1.20 x 0.50, ","SOT-723-3 ","1 ","260 ","0.2177 ",
"SZESD8006MUTAG","Active","H Pb A P ","Display Port, eSATA 3.0, Thunderbolt, USB 3.0, USB 3.1, ","6, ","Unidirectional, ","0.32, ","5.5, ","3.3, ","1, ","-, ","3.30 x 1.00 x 0.50, ","UDFN-8 ","1 ","260 ","0.2187 ",
"ESD8006MUTAG","Active","H Pb   ","Display Port, eSATA 3.0, Thunderbolt, USB 3.0, USB 3.1, ","6, ","Unidirectional, ","0.32, ","5.5, ","3.3, ","1, ","-, ","3.30 x 1.00 x 0.50, ","UDFN-8 ","1 ","260 ","0.316 ",
"ESD8008MUTAG","Active","H Pb   ","Display Port, Ethernet (10/100, Gigabit), ","8, ","Unidirectional, ","0.3, ","5.5, ","3.3, ","0.5, ","-, ","5.50 x 1.50 x 0.50, ","UDFN-14 ","1 ","260 ","0.2147 ",
"SZESD8011MUT5G","Active","H Pb A P ","USB 3.0, USB 3.1, ","1, ","Bidirectional, ","0.2, ","6.5, ","5.5, ","1, ","3.3, ","0.62 x 0.32 x 0.29, ","X3DFN-2 ","1 ","260 ","0.0 ",
