"Product Group","Status","Compliance","VZ Typ (V)","P Max (W)","Package Size (mm)","Package Type","MSL Type","MSL Temp (°C)","Reference Price",
"SZMM5Z4680T1G","Active","H Pb A P ","2.2, ","0.5, ","1.60 x 0.80 x 0.60, ","SOD-523-2 ","1 ","260 ","0.0401 ",
"SZMM5Z4679T5G","Active","H Pb A P ","2, ","0.5, ","1.60 x 0.80 x 0.60, ","SOD-523-2 ","1 ","260 ","0.0 ",
"SZMM5Z4687T1G","Active","H Pb A P ","4.3, ","0.5, ","1.60 x 0.80 x 0.60, ","SOD-523-2 ","1 ","260 ","0.0401 ",
"SZMM5Z4705T1G","Active","H Pb A P ","18, ","0.5, ","1.60 x 0.80 x 0.60, ","SOD-523-2 ","1 ","260 ","0.0401 ",
"MM5Z4702T5G","Active","H Pb   ","-, ","-, ","1.60 x 0.80 x 0.60, ","SOD-523-2 ","1 ","260 ","0.0363 ",
"SZMM5Z4699T5G","Active","H Pb A P ","-, ","-, ","1.60 x 0.80 x 0.60, ","SOD-523-2 ","1 ","260 ","0.0401 ",
"MM5Z4690T1G","Active","H Pb   ","5.6, ","0.5, ","1.60 x 0.80 x 0.60, ","SOD-523-2 ","1 ","260 ","0.0336 ",
"MM5Z4689T1G","Active","H Pb   ","5.1, ","0.5, ","1.60 x 0.80 x 0.60, ","SOD-523-2 ","1 ","260 ","0.0488 ",
"MM5Z4689T5G","Active","H Pb   ","-, ","-, ","1.60 x 0.80 x 0.60, ","SOD-523-2 ","1 ","260 ","0.0336 ",
"MM5Z4703T1G","Active","H Pb   ","16, ","0.5, ","1.60 x 0.80 x 0.60, ","SOD-523-2 ","1 ","260 ","0.0336 ",
"MM5Z4711T5G","Active","H Pb   ","-, ","-, ","1.60 x 0.80 x 0.60, ","SOD-523-2 ","1 ","260 ","0.0336 ",
"MM5Z4711T1G","Active","H Pb   ","27, ","0.5, ","1.60 x 0.80 x 0.60, ","SOD-523-2 ","1 ","260 ","0.0488 ",
"MM5Z4694T5G","Active","H Pb   ","-, ","-, ","1.60 x 0.80 x 0.60, ","SOD-523-2 ","1 ","260 ","0.0367 ",
"MM5Z4682T5G","Active","H Pb   ","-, ","-, ","1.60 x 0.80 x 0.60, ","SOD-523-2 ","1 ","260 ","0.0336 ",
"MMBZ5V6ALT1G","Active","H Pb   ","5.6, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0252 ",
"SZMMBZ20VALT3G","Active","H Pb A P ","20, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0277 ",
"MMBZ5V6ALT3G","Active","H Pb   ","5.6, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0252 ",
"SZMMBZ20VALT1G","Active","H Pb A P ","20, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0277 ",
"MMBZ9V1ALT1G","Active","H Pb   ","9.1, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0252 ",
"SZMMBZ16VALT1G","Active","H Pb A P ","16, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0277 ",
"SZMMBZ5V6ALT1G","Active","H Pb A P ","5.6, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0277 ",
"MMBZ20VALT1G","Active","H Pb   ","20, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0252 ",
"SZMMBZ27VALT1G","Active","H Pb A P ","27, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0277 ",
"SZMMBZ27VALT3G","Active","H Pb A P ","27, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0277 ",
"MMBZ47VALT1G","Active","H Pb   ","47, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0252 ",
"MMBZ47VTALT1G","Active","H Pb   ","47, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0287 ",
"SZMMBZ15VALT3G","Active","H Pb A P ","15, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0277 ",
"SZMMBZ18VALT1G","Active","H Pb A P ","18, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0277 ",
"SZMMBZ18VALT3G","Active","H Pb A P ","18, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0277 ",
"SZMMBZ16VTALT1G","Active","H Pb A P ","16, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0313 ",
"MMBZ16VALT1G","Active","H Pb   ","16, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0252 ",
"MMBZ18VALT1G","Active","H Pb   ","18, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0252 ",
"MMBZ12VALT1G","Active","H Pb   ","12, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0252 ",
"SZMMBZ47VTALT1G","Active","H Pb A P ","47, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0313 ",
"SZMMBZ33VALT3G","Active","H Pb A P ","33, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0277 ",
"SZMMBZ33VALT1G","Active","H Pb A P ","33, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0277 ",
"MMBZ15VALT1G","Active","H Pb   ","15, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0252 ",
"SZMMBZ12VALT1G","Active","H Pb A P ","12, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0277 ",
"MMBZ27VALT1G","Active","H Pb   ","27, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0252 ",
"MMBZ6V2ALT1G","Active","H Pb   ","6.2, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0252 ",
"MMBZ27VALT3G","Active","H Pb   ","27, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0252 ",
"SZMMBZ6V8ALT3G","Active","H Pb A P ","6.8, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0277 ",
"SZMMBZ6V8ALT1G","Active","H Pb A P ","6.8, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0277 ",
"SZMMBZ15VALT1G","Active","H Pb A P ","15, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0277 ",
"SZMMBZ47VALT1G","Active","H Pb A P ","47, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0277 ",
"SZMMBZ6V2ALT1G","Active","H Pb A P ","6.2, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0277 ",
"MMBZ33VALT1G","Active","H Pb   ","33, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0252 ",
"SZMMBZ9V1ALT3G","Active","H Pb A P ","9.1, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0277 ",
"MMBZ6V8ALT1G","Active","H Pb   ","6.8, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0252 ",
"SZMMBZ27VCLT1G","Active","H Pb A P ","27, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0267 ",
"SZMMBZ27VCLT3G","Active","H Pb A P ","27, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0267 ",
"MMBZ27VCLT1G","Active","H Pb   ","27, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0205 ",
"SZMMBZ39VCLT3G","Active","H Pb A P ","39, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0267 ",
"SZMMBZ39VCLT1G","Active","H Pb A P ","39, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0267 ",
"SZMMBZ15VDLT3G","Active","H Pb A P ","15, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0301 ",
"SZMMBZ15VDLT1G","Active","H Pb A P ","15, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0301 ",
"MMBZ15VDLT1G","Active","H Pb   ","15, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0229 ",
"MMBZ15VDLT3G","Active","H Pb   ","15, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0299 ",
"SZMMBZ20VAWT1G","Active","H Pb A P ","20, ","0.2, ","2.00 x 2.10 x 0.90, ","SC-70-3 / SOT-323-3 ","1 ","260 ","0.0409 ",
"MMBZ20VAWT1G","Active","H Pb   ","20, ","0.2, ","2.00 x 2.10 x 0.90, ","SC-70-3 / SOT-323-3 ","1 ","260 ","0.0327 ",
"SZMMBZ27VAWT1G","Active","H Pb A P ","27, ","0.2, ","2.00 x 2.10 x 0.90, ","SC-70-3 / SOT-323-3 ","1 ","260 ","0.0865 ",
"SZMMBZ15VAWT1G","Active","H Pb A P ","15, ","0.2, ","2.00 x 2.10 x 0.90, ","SC-70-3 / SOT-323-3 ","1 ","260 ","0.0865 ",
"SZMMBZ33VAWT1G","Active","H Pb A P ","33, ","0.2, ","2.00 x 2.10 x 0.90, ","SC-70-3 / SOT-323-3 ","1 ","260 ","0.0493 ",
"MMBZ27VAWT1G","Active","H Pb   ","27, ","0.2, ","2.00 x 2.10 x 0.90, ","SC-70-3 / SOT-323-3 ","1 ","260 ","0.0327 ",
"MMBZ33VAWT1G","Active","H Pb   ","33, ","0.2, ","2.00 x 2.10 x 0.90, ","SC-70-3 / SOT-323-3 ","1 ","260 ","0.1051 ",
"SZMMBZ27VCWT1G","Active","H Pb A P ","27, ","0.2, ","2.00 x 2.10 x 0.90, ","SC-70-3 / SOT-323-3 ","1 ","260 ","0.0667 ",
"SZMMBZ27VCWT3G","Active","H Pb A P ","27, ","0.2, ","2.00 x 2.10 x 0.90, ","SC-70-3 / SOT-323-3 ","1 ","260 ","0.0667 ",
"MMBZ27VCWT1G","Active","H Pb   ","27, ","0.2, ","2.00 x 2.10 x 0.90, ","SC-70-3 / SOT-323-3 ","1 ","260 ","0.032 ",
"MMBZ27VCWT3G","Active","H Pb   ","27, ","0.2, ","2.00 x 2.10 x 0.90, ","SC-70-3 / SOT-323-3 ","1 ","260 ","0.032 ",
"SZMMBZ5264BLT1G","Active","H Pb A P ","60, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0201 ",
"MMBZ5261BLT1G","Active","H Pb   ","47, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0157 ",
"MMBZ5270BLT1G","Active","H Pb   ","91, ","0.225, ","2.90 x 2.40 x 1.00, ","SOT-23 (TO-236) 2.90x1.30x1.00, 1.90P ","1 ","260 ","0.0157 ",
